part_id,stock_level,cost_price,entry_date
SP-373,,$348.90,"Feb 16, 2025"
SP-161,,280.57,2024-08-19
SP-249,LOW,396.44,2025-05-13
SP-387,43,$406.50,09/13/24
SP-113,447,93.38,2024-10-24
SP-241,,201.55,2024-07-30
SP-198,456,316.78,2025-04-17
SP-223,443,$74.33,"Jan 08, 2025"
SP-248,339,203.84,2025-05-17
SP-491,425,64,2024-09-04
SP-202,156,354.13,2025-01-17
SP-101,158,340.18,"Apr 03, 2025"
SP-229,407,,01/18/25
SP-345,UNAVAILABLE,127.83,2024-10-23
SP-445,418,178.21,05/18/25
SP-286,LOW,253.01,05/13/24
SP-487,12,339.84,06/27/25
SP-175,,263.11,2024-10-12
SP-458,440,$309.15,07/28/24
SP-169,269,,2025-05-18
SP-269,low stock,314.94,2024-05-10
SP-418,352,119.46,2025-03-10
SP-371,,208.18,10/12/24
SP-451,UNAVAILABLE,$133.13,2024-02-28
SP-267,238,61,07/27/25
SP-298,UNAVAILABLE,118.63,"Jan 31, 2024"
SP-140,,340,2025-05-01
SP-421,170,$152.21,2025-03-14
SP-256,351,92.33,2024-06-18
SP-462,,47.21,2024-01-13
SP-178,250,111.54,2024-08-25
SP-251,55,$78.00,"Feb 15, 2024"
SP-363,220,$266.91,2024-04-22T00:00:00
SP-460,114,$306.48,2024-04-28
SP-293,335,,02/21/24
SP-251,332,308.56,"Dec 12, 2024"
SP-464,171,293.57,2024-05-28T00:00:00
SP-268,LOW,182.77,2024-01-21
SP-439,420,$316.32,2024-09-23T00:00:00
SP-351,,169.68,06/26/24
SP-453,48,131.62,2025-02-18
SP-148,417,12.28,2024-02-15
SP-199,,$261.81,2024-11-29T00:00:00
SP-242,357,406.64,03/19/25
SP-448,445,336.08,06/21/24
SP-340,17,$190.46,2024-10-15
SP-490,6,$299.50,01/24/24
SP-418,low stock,251.4,2024-10-14
SP-119,345,$66.17,"Sep 10, 2024"
SP-340,LOW,348.58,2025-07-29
SP-114,,433.71,2024-10-09
SP-378,68,22.13,2025-03-03
SP-466,123,$95.36,08/15/24
SP-155,254,$116.22,"Sep 10, 2024"
SP-229,11,$250.68,"May 21, 2024"
SP-247,None,208,07/09/25
SP-441,24,10.2,08/08/24
SP-255,153,366.27,2024-08-06
SP-138,238,$331.92,"Oct 08, 2024"
SP-168,,416.27,2025-04-30T00:00:00
SP-207,192,10,2024-04-14
SP-295,449,274,"Mar 13, 2024"
SP-143,42,361.46,"May 23, 2024"
SP-240,Out of Stock,115,"Oct 12, 2024"
SP-417,53,,09/16/24
SP-440,UNAVAILABLE,$376.61,2024-01-25
SP-413,223,$83.24,"Apr 24, 2024"
SP-262,,68.05,2024-12-26
SP-365,348,$426.59,"Jan 26, 2024"
SP-349,477,$53.18,"Apr 24, 2024"
SP-378,120,356.92,"Nov 08, 2024"
SP-157,421,257.21,"Jun 25, 2024"
SP-229,Out of Stock,11,"Oct 07, 2024"
SP-320,Low Stock,400.42,"Jun 19, 2025"
SP-168,150,36.72,2025-06-19
SP-466,392,$423.88,2025-02-08
SP-173,123,$279.88,"Jul 23, 2024"
SP-424,181,$14.75,"Jun 12, 2024"
SP-372,Out of Stock,,2024-12-06
SP-453,330,,2025-02-22
SP-213,206,$424.41,"Oct 25, 2024"
SP-295,282,$116.49,04/16/24
SP-397,222,200.93,2024-11-14
SP-414,350,101.04,04/19/25
SP-304,459,$109.22,2024-06-18
SP-395,114,$332.85,"Dec 24, 2024"
SP-365,441,$26.61,2025-07-07
SP-216,18,112.32,04/16/24
SP-450,500,341.37,"Feb 10, 2025"
SP-485,9,$284.46,02/19/25
SP-348,low stock,231.41,2024-10-08
SP-352,low stock,$439.69,"Dec 05, 2024"
SP-140,373,153.19,2024-10-01
SP-368,low stock,424,2025-02-20T00:00:00
SP-101,457,394.13,2025-04-17
SP-154,459,8.99,2024-06-09
SP-308,310,206,2024-06-14
SP-334,,147.91,2024-01-16
SP-111,320,267.8,01/24/25
SP-160,Low Stock,91.88,2024-07-04
SP-172,264,370.71,10/14/24
SP-386,498,336.41,2024-12-24
SP-113,423,91,2024-07-27
SP-297,Out of Stock,$41.40,2024-01-08
SP-430,LOW,447.68,01/19/24
SP-330,492,335,"Sep 07, 2024"
SP-243,432,185,"Dec 04, 2024"
SP-236,473,200.27,"May 28, 2025"
SP-366,467,$212.44,02/10/25
SP-168,460,364.02,2024-07-22
SP-426,Out of Stock,122.38,2024-08-26
SP-123,,,"Jan 13, 2025"
SP-353,108,$243.19,2025-06-04
SP-137,427,214.17,2024-11-14
SP-337,Out of Stock,218.48,2025-03-22
SP-178,146,$353.93,"Apr 13, 2025"
SP-142,low stock,$234.58,08/31/24
SP-354,16,183.15,2025-02-12T00:00:00
SP-415,83,$229.28,2025-07-28
SP-220,353,380,2024-08-04
SP-429,152,$379.87,2024-09-21
SP-465,UNAVAILABLE,189.68,"Dec 17, 2024"
SP-396,423,$137.43,"Jul 06, 2025"
SP-120,284,$218.38,"May 13, 2025"
SP-336,,248.7,"Apr 25, 2024"
SP-210,320,$398.51,"Feb 22, 2024"
SP-341,8,134.56,07/01/24
SP-396,Low Stock,108.94,"Jul 16, 2024"
SP-329,,113,2025-03-18
SP-168,451,254.43,"Feb 19, 2025"
SP-400,,243,08/31/24
SP-318,301,367.44,"Mar 28, 2025"
SP-240,75,$401.35,2024-07-26
SP-319,,$142.52,01/27/24
SP-210,468,$329.16,04/26/24
SP-390,Out of Stock,93,08/08/24
SP-296,473,105,2024-05-15
SP-414,None,292.98,2024-07-07T00:00:00
SP-334,386,192.37,03/10/25
SP-113,174,86,01/01/25
SP-465,,197.83,"May 30, 2024"
SP-101,68,,"Oct 05, 2024"
SP-287,129,$98.09,2025-05-15
SP-451,348,13.7,01/12/24
SP-468,UNAVAILABLE,339.05,"May 24, 2025"
SP-333,,$97.81,"Nov 05, 2024"
SP-249,64,45.58,2025-05-08T00:00:00
SP-104,183,133.84,"Sep 09, 2024"
SP-367,388,108.06,"Jan 19, 2025"
SP-463,248,56.18,2024-12-03
SP-451,293,$355.41,"Sep 09, 2024"
SP-305,138,123,2024-08-01
SP-241,262,386.55,"Jul 27, 2025"
SP-363,226,$50.78,2024-02-26
SP-349,270,299.16,2024-10-14
SP-198,217,$49.92,"Nov 16, 2024"
SP-261,459,$76.92,2025-06-06T00:00:00
SP-156,246,$70.66,"Jan 22, 2025"
SP-158,185,$129.45,2025-03-26T00:00:00
SP-285,16,80.83,03/25/25
SP-366,UNAVAILABLE,$174.59,2024-11-24
SP-198,194,,"Apr 09, 2025"
SP-160,389,86.07,2024-01-29T00:00:00
SP-226,254,138.53,2024-09-25
SP-262,low stock,$299.46,2024-11-21T00:00:00
SP-331,,362.49,2025-04-18
SP-481,355,284.66,"Sep 19, 2024"
SP-500,304,$160.71,"May 08, 2024"
SP-417,LOW,229,2024-04-20
SP-110,,33.23,2025-01-02T00:00:00
SP-415,78,345,"Jan 12, 2025"
SP-399,141,365,2024-11-23
SP-337,,412,"Sep 25, 2024"
SP-467,,$370.93,"Jul 21, 2025"
SP-306,20,229.5,2025-01-25
SP-410,259,172.72,2025-06-01T00:00:00
SP-275,Low Stock,6.28,"Feb 01, 2025"
SP-381,low stock,56.3,2024-12-28T00:00:00
SP-468,None,273.06,04/19/25
SP-223,Out of Stock,449.5,2025-04-01
SP-478,142,$334.52,2025-06-09
SP-236,268,203.25,02/29/24
SP-443,434,310.71,"Jul 31, 2025"
SP-312,UNAVAILABLE,$416.02,2024-07-19
SP-449,LOW,$376.67,2024-03-04
SP-360,LOW,$430.69,2024-03-07
SP-356,446,$123.93,2024-04-17
SP-413,430,288.45,2024-03-08
SP-231,47,$297.56,2025-01-24
SP-424,235,260,2024-05-13
SP-391,264,352.64,2025-01-17
SP-213,86,153.95,2025-04-18
SP-481,474,331,"Dec 31, 2024"
SP-364,53,59.23,02/21/25
SP-328,453,$130.64,"May 27, 2024"
SP-225,330,$44.67,2025-04-18T00:00:00
SP-169,486,95.23,2025-05-18T00:00:00
SP-380,113,276.29,2024-12-08T00:00:00
SP-220,301,$349.57,2025-04-09
SP-187,438,315,"Aug 28, 2024"
SP-428,,200.07,2024-03-10
SP-358,108,401.13,2024-11-26
SP-433,168,$398.42,2024-04-04
SP-267,UNAVAILABLE,31.96,"Mar 11, 2025"
SP-356,UNAVAILABLE,,"Mar 22, 2025"
SP-181,,$357.26,"Jun 26, 2025"
SP-234,,$298.97,2024-09-26
SP-309,218,,2024-04-13
SP-332,457,443.84,"Nov 01, 2024"
SP-128,435,107.44,2025-04-05
SP-182,,167.09,03/22/25
SP-339,125,,2025-01-03
SP-374,159,400.86,"May 17, 2025"
SP-225,499,$57.48,2025-05-15
SP-107,Out of Stock,68.77,"Mar 26, 2024"
SP-157,429,$395.66,"Dec 28, 2024"
SP-434,20,$114.47,"Feb 26, 2025"
SP-418,Out of Stock,302,2024-12-15
SP-305,164,$70.26,2025-05-28
SP-227,149,341.44,2025-04-16
SP-173,255,$345.65,03/04/24
SP-291,None,$310.78,2024-12-06
SP-161,None,$360.11,2024-12-17
SP-204,302,287.83,2025-05-11T00:00:00
SP-327,492,78.29,2024-12-04
SP-489,424,,2024-09-15
SP-388,30,$64.89,01/24/24
SP-208,303,186.92,01/19/24
SP-375,360,57.63,"Aug 15, 2024"
SP-225,Out of Stock,$149.84,2024-11-15T00:00:00
SP-271,378,173.92,"Apr 01, 2025"
SP-124,110,387,"Aug 28, 2024"
SP-291,UNAVAILABLE,211.41,"May 29, 2025"
SP-209,177,$8.99,2024-06-22
SP-405,low stock,99.3,2025-03-21
SP-384,LOW,172.7,2025-01-02T00:00:00
SP-314,203,97.34,"Nov 14, 2024"
SP-369,51,201.2,"Apr 19, 2025"
SP-224,None,$16.63,2025-07-29
SP-462,143,$388.06,03/07/25
SP-229,327,158,2024-03-31T00:00:00
SP-193,214,338.86,2025-01-20
SP-480,32,82.62,2024-08-05
SP-145,,432.19,2025-07-21
SP-305,226,17.12,"Dec 28, 2024"
SP-360,UNAVAILABLE,$149.85,"Dec 03, 2024"
SP-285,30,248.63,2025-04-02
SP-323,43,$155.51,2024-12-02
SP-135,,$191.37,2024-08-14T00:00:00
SP-465,361,$327.97,2024-03-21T00:00:00
SP-109,236,$285.61,2025-06-01
SP-263,212,107.33,"Apr 13, 2025"
SP-159,440,375.84,2024-09-06T00:00:00
SP-416,34,$88.10,2024-09-05
SP-412,318,108,2024-03-07
SP-152,91,265.0,2024-02-21
SP-210,268,$15.23,09/29/24
SP-355,159,313.29,2024-02-15
SP-373,497,255,"Jun 09, 2025"
SP-330,UNAVAILABLE,258.56,"Mar 29, 2025"
SP-226,386,95.83,"Aug 29, 2024"
SP-337,254,291.17,"Apr 16, 2025"
SP-466,397,$308.49,"Apr 16, 2025"
SP-440,207,$144.35,"May 21, 2024"
SP-296,496,290,03/25/25
SP-139,206,$37.23,02/10/25
SP-161,300,$410.02,06/18/24
SP-401,low stock,17,2025-05-29
SP-330,64,124,"Jun 16, 2024"
SP-283,204,$233.22,2024-12-17
SP-327,low stock,119.01,2025-02-27
SP-474,67,430,2024-06-09
SP-493,161,,"Nov 01, 2024"
SP-107,141,$114.54,"Aug 21, 2024"
SP-112,,435,2025-04-23
SP-268,58,394.15,2024-12-24
SP-393,LOW,26,2025-05-30
SP-222,low stock,$115.28,04/24/25
SP-339,Low Stock,$199.97,2024-09-18
SP-294,403,$193.79,2024-04-17
SP-484,355,$432.53,07/02/24
SP-377,152,437.13,07/23/25
SP-417,222,137,2024-08-26T00:00:00
SP-182,449,$276.26,2024-04-30
SP-209,300,318.25,"Jan 11, 2024"
SP-374,UNAVAILABLE,,06/02/25
